mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.18654532432556153,0.015196403789406355,0.01105504035949707,0.0010929078165317417,3,2,100,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100}",0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.0,1,0.9791666666666666,0.9895833333333334,1.0,1.0,0.9895833333333334,0.9916666666666666,0.007795119555779053
0.39020605087280275,0.026635785786336155,0.020289230346679687,0.003994659092031639,3,2,200,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 200}",0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.95,0.016666666666666698,11,0.9791666666666666,0.9895833333333334,1.0,0.9895833333333334,0.9895833333333334,0.9895833333333334,0.006588078458684136
0.10486831665039062,0.013781045605670377,0.008743906021118164,0.004288103996502801,3,5,50,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 50}",0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.95,0.016666666666666698,11,0.9791666666666666,0.9895833333333334,0.9895833333333334,0.9895833333333334,0.9895833333333334,0.9875,0.004166666666666697
0.18285589218139647,0.011353688175685368,0.009741640090942383,0.0017605559433567564,3,5,100,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 100}",0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.0,1,0.9791666666666666,0.9895833333333334,0.9895833333333334,0.9895833333333334,0.9791666666666666,0.9854166666666668,0.0051031036307983245
0.37529168128967283,0.01743731589323148,0.017372512817382814,0.0035200722604473962,3,5,200,"{'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 200}",0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.95,0.016666666666666698,11,0.96875,0.9895833333333334,0.9895833333333334,0.9791666666666666,0.9791666666666666,0.98125,0.007795119555779065
0.09404115676879883,0.005259282593385242,0.006528902053833008,0.001387802477369211,3,10,50,"{'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 50}",0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.95,0.016666666666666698,11,0.9791666666666666,0.9895833333333334,0.9895833333333334,0.9791666666666666,0.9895833333333334,0.9854166666666666,0.0051031036307983245
0.19355363845825196,0.013306916990717432,0.009045791625976563,0.0015254240803562924,3,10,100,"{'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 100}",0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.0,1,0.9791666666666666,0.9895833333333334,0.9895833333333334,0.9895833333333334,0.9791666666666666,0.9854166666666668,0.0051031036307983245
0.3650370121002197,0.014216137482408586,0.018785858154296876,0.0029002665128871393,3,10,200,"{'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 200}",0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.95,0.016666666666666698,11,0.96875,0.9895833333333334,0.9895833333333334,0.9791666666666666,0.9791666666666666,0.98125,0.007795119555779065
0.0956106185913086,0.004926068595610566,0.006431961059570312,0.0005919507376610453,5,2,50,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.95,0.016666666666666698,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.1822225570678711,0.003910406194869981,0.010151386260986328,0.0013301298724522055,5,2,100,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.95,0.016666666666666698,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
